一级功能|功能点,需求描述,面向对象,模块,需求类型,父记录,需求版本,优先级,关联需求,comments,负责同学,预期完成时间,需求状态
飞书数据接入,接入飞书平台各类数据，为驾驶舱系统提供基础数据支撑,系统,上下文平台,数据建设,,0.1,P0,,三个场景均依赖飞书数据,,,待开发
内部其他数据接入,接入漕河泾内部各业务系统数据（烽火CRM、访客系统等）,系统,上下文平台,数据建设,,0.2,P1,,部分系统尚在建设中,,,待开发
外部数据接入,接入企查查/天眼查等外部公开数据API丰富企业画像,系统,上下文平台,数据建设,,0.2,P1,,,,,待开发
飞书妙记,接入飞书妙记API获取会议录音及转录内容，用于走访记录的自动关联和信息提取,系统,上下文平台,数据建设,飞书数据接入,0.1,P0,"走访记录生成,妙记自动关联",走访场景核心数据源，需处理方言识别不准的问题,,,待开发
飞书日历,接入飞书日历API实现拜访计划同步，支持日程与妙记的自动关联,系统,上下文平台,数据建设,飞书数据接入,0.1,P0,妙记自动关联,全公司已强制使用飞书日历,,,待开发
飞书文档,接入飞书文档API支持背调报告、周报等文档的自动生成和读写,系统,上下文平台,数据建设,飞书数据接入,0.2,P1,背调报告,背调报告最终输出为飞书文档,,,待开发
飞书任务,接入飞书任务API实现任务自动创建和分发，支持走访任务和政策触达任务的自动化,系统,上下文平台,数据建设,飞书数据接入,0.2,P1,"任务自动创建及分发,政策触达任务分发功能",,,,待开发
飞书多维表格,接入飞书多维表格API获取结构化业务数据，包括企业清单、走访记录、孵化器企业信息等,系统,上下文平台,数据建设,飞书数据接入,0.2,P1,,各部门业务数据多以多维表格形式存在,,,待开发
烽火 CRM,接入烽火CRM系统获取客户跟踪记录、合同信息和客户经理对应关系，先以只读方式对接,系统,上下文平台,数据建设,内部其他数据接入,0.2,P1,烽火CRM接入,烽火系统尚未正式启用，基于飞书生态的ISV产品,,,待开发
会议室预约系统,接入A6等园区会议室预约系统获取会议频次数据，用于企业活跃度分析和运营监控,系统,上下文平台,数据建设,内部其他数据接入,0.2,P2,日常运营监控,校友软件实现，可拉取静态数据表,,,待确认
访客登记系统,接入访客登记系统（多维表格形式）获取来访记录，支持人员流动分析和安全监控,系统,上下文平台,数据建设,内部其他数据接入,0.2,P2,日常运营监控,飞书多维表格形式，可实时获取,,,待确认
门禁系统,接入门禁打卡系统获取人员进出数据，需与第三方硬件厂商对接,系统,上下文平台,数据建设,内部其他数据接入,0.3,P3,日常运营监控,外部供应商系统，非实时数据，4月前不一定就绪,,,延期
企查查 / 天眼查,通过企查查/天眼查等API补全企业工商信息、股权结构、经营状况等公开数据,系统,上下文平台,数据建设,外部数据接入,0.1,P1,企业画像构建,企业数据库更新频率约3个月一次，需补充实时数据,,,待开发
知识产权数据,获取企业专利、商标、软著等知识产权数据，丰富企业技术能力画像，辅助政策匹配判断,系统,上下文平台,数据建设,外部数据接入,0.2,P1,企业画像构建,高新技术企业认定的关键判断维度,,,待开发
投融资数据,获取企业历史融资轮次、金额、投资方等数据，评估企业发展潜力和活跃度,系统,上下文平台,数据建设,外部数据接入,0.2,P1,企业画像构建,,,,待开发
,,,上下文平台,,外部数据接入,,,,,,,
数据库建设,建设统一的数据存储和管理平台，整合内外部数据源为全部场景提供基础支撑,系统,上下文平台,数据建设,,0.1,P0,,三个场景共用的基础设施,,,待开发
企业数据库,建设统一的企业信息数据库，整合漕河泾17000+企业数据和走访信息，先dump现有企业数据库数据再逐步替代,系统,上下文平台,数据建设,数据库建设,0.1,P0,,现有企业数据库等同内部企查查但使用率低，目标是替代它,,,待开发
部门知识库,建设各部门业务知识库，沉淀赛道关键问题（3+3话术）、服务清单、背调模板等业务知识,系统,上下文平台,数据建设,数据库建设,0.2,P1,"赛道关键问题配置,服务资源清单配置",各赛道负责人需提供必问问题和关键词,,,待开发
,,,上下文平台,,,,,,,,,
企业画像,企业画像模块，用于展示企业完整信息和历史记录，作为全部场景的公共基础能力,招商经理/管理者,客户拜访app,app开发,,0.1,P0,,三个场景均需企业画像作为底层支撑,,,待开发
数据接入,孵化器场景所需数据源的接入，包括A6物理空间数据和孵化企业信息,系统,孵化器管理app,数据建设,,0.1,P0,,优先接入会议室预约和访客登记，门禁和人流延后,,,待开发
日常运营监控,监控孵化器日常运营情况，包括人员流动、会议频次、企业活跃度等指标，帮助运营人员及时发现异常,孵化器运营人员,孵化器管理app,app开发,,0.1,P0,,赵婧总排序第一优先级,,,待开发
企业数据库看板,面向管理层的企业数据全局视图，展示园区企业总量、产业分布、重点企业动态等信息,管理层,领导看板app,app开发,,0.3,P2,,需基于各场景数据积累后生成,,,延期
资源与订单智能匹配,匹配孵化企业与开发区企业的合作机会，基于企业业务范围和产业链关系推荐潜在订单和合作方,孵化器运营人员,孵化器管理app,app开发,,0.1,P0,,赵婧总排序第二优先级，核心AI能力体现,,,待开发
高活跃企业报告Agent,"基于会议室预约频次、访客记录、招聘动态等数据识别高活跃企业，生成活跃度分析报告。Query1=过去xx时间段内识别高活跃企业（有分析evidence）；Query2=拿到一批企业后判断哪些更高活跃",孵化器运营人员,孵化器管理app,agent,日常运营监控,0.2,P1,日常运营监控,高活跃企业优先获得订单匹配和资源对接,,,待开发
员工工作情况看板,面向管理层的员工工作情况视图，展示各部门走访量、触达率、任务完成情况等绩效指标,管理层,领导看板app,app开发,,0.3,P2,,需基于各场景数据积累后生成，顾总暂缓,,,延期
内部其他数据接入,收集并结构化处理漕河泾内部的私域政策数据，包括各部门掌握的政策认定标准和所需材料,科创服务团队,政策服务app,数据建设,,0.1,P0,政策材料上传,,,,待开发
外部数据接入,收集并结构化处理公开发布的政策文件，如高新技术企业认定管理办法等通用政策,科创服务团队,政策服务app,数据建设,,0.1,P0,,,,,待开发
企业数据库,通过企业数据库获取企业信息，构建企业画像，获取政策匹配的关键信息,,政策服务app,数据建设,内部其他数据接入,0.1,P0,企业画像构建,,,,待开发
企查查 / 天眼查,通过企查查/天眼查等API补全企业信息，丰富企业画像精准程度,,政策服务app,数据建设,外部数据接入,0.2,P1,企业画像构建,,,,待开发
知识产权数据,获取企业知识产权数据，丰富企业画像精准程度,,政策服务app,数据建设,外部数据接入,0.2,P1,企业画像构建,高新认定需要知识产权数据作为硬性判断条件,,,待开发
投融资数据,获取企业投融资数据，丰富企业画像精准程度,,政策服务app,数据建设,外部数据接入,0.2,P1,企业画像构建,,,,待开发
数据预处理,对政策文件和企业数据进行预处理，生成政策评判标准（rubrics）和匹配规则,科创服务团队,政策服务app,自动化+AI流程,,0.1,P0,,"包含初筛rubrics、分级rubrics、审核rubrics等多套规则生成",,,待开发
智能体开发,开发政策服务场景所需的各类AI智能体，实现企业筛选、分级、材料审核等自动化功能,科创服务团队,政策服务app,agent,,0.1,P0,,核心AI能力，一期聚焦高新技术企业认定,,,待开发
算法功能开发,开发政策服务场景所需的算法和功能模块，包括飞书API对接、空间匹配等,系统,政策服务app,app开发,,0.2,P1,,,,,待开发
日常运营监控,政策服务的日常运营监控，跟踪政策触达进度和服务效果,科创服务团队/管理者,政策服务app,app开发,,0.2,P1,,,,,待开发
政策统计看板,以企业数量为中心的政策统计视图，展示企业覆盖情况和申报进展,,政策服务app,app开发,日常运营监控,demo,P0,,,,,待开发
工作进度看板,管理者可查看各项目经理的工作进度：分配任务数、完成触达数、转化率等，用于团队管理,管理者,政策服务app,app开发,日常运营监控,demo,P0,,,,,待开发
奇岱松人流趋势监控,基于奇岱松智能设备采集A6楼宇的人流数据，分析孵化器空间使用率和人员流动趋势,孵化器运营人员,孵化器管理app,数据建设,数据接入,0.3,P3,,需硬件部署，4月前交付不确定，漕河泾方面暂不积极推进,,,延期
打卡数据系统（门禁、访客）,接入门禁打卡系统获取企业员工进出数据，分析企业实际办公情况和人员出勤趋势,系统,孵化器管理app,数据建设,数据接入,0.3,P3,,外部供应商系统，非实时数据,,,延期
会议室预约系统,接入A6会议室预约系统获取预约和使用数据，分析企业会议频次和商务活跃度,系统,孵化器管理app,数据建设,数据接入,0.2,P1,日常运营监控,校友软件实现，可拉取静态报表,,,待开发
漕河泾企业数据库,接入漕河泾园区17000+企业数据库作为订单匹配的需求方数据源，获取园区内大企业基础信息,系统,孵化器管理app,数据建设,数据接入,0.1,P0,企业数据库,与客户拜访app共用同一数据库,,,待开发
开发区及孵化器企业数据库,建设并维护孵化器企业专属数据库（约70家在孵企业），包含详细信息、BP、产品方向等，其中10家重点企业有详细数据,孵化器运营人员,孵化器管理app,数据建设,数据接入,0.1,P0,,孵化器自有多维表格，需解析BP（PPT/PDF）提取结构化信息,,,待开发
互联网查询数据接口,接入企查查等互联网公开数据接口，补充孵化企业的工商信息和市场动态,系统,孵化器管理app,数据建设,数据接入,0.2,P1,,,,,待开发
bp内部企业研究数据库,接入内部已有的企业研究数据（如经信委项目沉淀的脱敏数据），丰富企业产业分析维度,系统,孵化器管理app,数据建设,数据接入,0.2,P2,,需确认数据脱敏合规性，财务数据不可用,,,待确认
订单匹配Agent,基于企业业务范围和产业链关系，智能匹配孵化企业与开发区企业的合作机会，推荐潜在订单,孵化器运营人员,孵化器管理app,agent,资源与订单智能匹配,0.1,P0,,核心AI能力，对话式交互+可视化呈现,,,待开发
根据园区需求 分析孵化企业匹配,"当开发区大企业发布需求/项目时，自动拆解需求并匹配孵化器中具备相关能力的企业。如A企业有个自动洗车项目，分析孵化企业谁能承接部分环节",孵化器运营人员,孵化器管理app,agent,订单匹配Agent,0.1,P0,,需拆解大企业需求为可匹配的子任务,,,待开发
孵化企业新入/变更 分析园区企业/配套 匹配,"当孵化企业新入驻或发生重要变化（融资、产品发布等）时，自动分析其与开发区企业的潜在合作和联动可能",孵化器运营人员,孵化器管理app,agent,订单匹配Agent,0.1,P0,,需监测企业数据库变化触发分析,,,待开发
关系网可视化/页面分析,"以可交互网状图形式展示孵化企业与开发区企业的产业链关系、合作可能和资源匹配，领导汇报时可直观呈现",孵化器运营人员/管理者,孵化器管理app,app开发,订单匹配Agent,0.2,P1,,唯一的前端展示页面，其余为对话式交互,,,待开发
政策材料上传,收集政策认定需要的认定标准、所需材料列表等官方材料,,政策服务app,数据建设,内部其他数据接入,0.1,P0,"潜在企业筛选,潜在企业分级,申报材料审核,填写申报材料,申报信息收集",一期聚焦高新技术企业认定材料,,,待开发
潜在企业初筛 rubrics 生成,根据政策认定标准，拆解潜在企业初筛的硬性标准和打分细则,,政策服务app,自动化+AI流程,数据预处理,0.1,P0,硬指标自动化初筛,如成立时间、知识产权、技术领域等硬性条件,,,待开发
企业地理位置输入,收集企业地理空间位置，判断和漕河泾园区的空间关系,,政策服务app,数据建设,内部其他数据接入,0.3,P3,园区地理空间匹配,已有漕河泾覆盖范围地图demo,,,延期
潜在企业分级 rubrics 生成,根据政策认定标准，拆解潜在企业和政策适配程度的打分标准,,政策服务app,自动化+AI流程,数据预处理,0.1,P0,潜在企业分级,区分A/B/C级企业，匹配不同服务力度,,,待开发
申报材料模板准备,根据政策申请要求，准备申报材料填写所需模板,,政策服务app,自动化+AI流程,数据预处理,0.3,P2,填写申报材料,申报材料填写功能延后到二期,,,延期
deep research 智能体,对于私域和API都无法获取的企业信息，使用deep research智能体搜集公开数据进行补齐,,政策服务app,agent,智能体开发,0.1,P0,"辅助信息上传,企业画像构建,申报信息收集",从公开信息判断企业是否满足政策条件的关键能力,,,待开发
潜在企业初筛智能体,根据潜在企业初筛rubrics，判断该企业是否符合政策申报的硬性标准,,政策服务app,agent,智能体开发,0.1,P0,硬指标自动化初筛,基于企业数据库+公开数据自动判断,,,待开发
潜在企业分级智能体,根据潜在企业分级rubrics，判断该企业和政策的匹配程度,,政策服务app,agent,智能体开发,0.1,P0,潜在企业分级,输出A/B/C分级和置信度,,,待开发
申报材料填写智能体,根据企业信息及政策申报模板，完成符合标准的政策申报文件填写,,政策服务app,agent,智能体开发,0.3,P3,填写申报材料,需企业主动提供财务数据等敏感信息，延后到二期,,,延期
政策触达问题生成智能体,"根据企业初审结果及漕河泾开发区""一企一策""企业沟通服务话术，生成走访必问问题，辅助项目经理全面考察目标企业",,政策服务app,agent,智能体开发,0.2,P1,走访问题生成,需科创部门提供7个必问话术模板,,,待开发
政策触达总结智能体,根据项目经理政策触达结果及飞书会议记录，整理政策触达结果,,政策服务app,agent,智能体开发,0.2,P1,"妙记信息关联,触达进度跟踪",,,,待开发
政策申报审核智能体,根据企业上传申报材料及政策申报审核rubrics，判断企业是否符合政策申请要求,,政策服务app,agent,智能体开发,0.2,P1,材料自动审核,定性评分部分（技术先进程度等）存在主观性,,,待确认
走访必问问题生成,根据企业沟通服务话术生成走访必问问题，嵌入招商经理走访流程中,,政策服务app,自动化+AI流程,数据预处理,0.1,P0,走访问题生成,薛科总强调此功能优先级非常高,,,待开发
政策申报审核 rubrics 生成,根据政策申报要求，拆解符合要求的企业的标准和评分特征,,政策服务app,自动化+AI流程,数据预处理,0.2,P1,,需参考历史成功/失败案例校准评分标准,,,待开发
飞书纪要获取解析,根据政策触达会议纪要，获取数据及进行拆解,,政策服务app,app开发,算法功能开发,0.1,P0,"触达进度跟踪,妙记信息关联",与客户拜访app共用飞书妙记解析能力,,,待开发
空间位置匹配算法,根据漕河泾园区空间地理范围及企业地理位置，判断企业是否在漕河泾园区内,,政策服务app,app开发,算法功能开发,0.3,P3,园区地理空间匹配,已有demo，按门牌号匹配,,,延期
材料上传功能,在前端提供企业信息、申报材料的上传接口,,政策服务app,app开发,算法功能开发,demo,P0,"辅助信息上传,申报信息收集,审批结果录入",,,,待开发
政策触达任务分发功能,根据潜在企业分级和政策触达问题生成结果，使用飞书任务功能向项目经理分配走访任务,,政策服务app,app开发,算法功能开发,0.1,P0,走访任务分发,自动生成飞书任务并@相关人,,,待开发
政策审核结果监测智能体,持续检测政府公布页面，扫描企业是否通过了政策认定,,政策服务app,agent,智能体开发,0.3,P3,,需定期爬取政府网站，合规性待确认,,,延期
企业管理大盘,"列出园区内所有企业列表，可以根据行业筛选，也可以通过政策类型、政策申请进度筛选",,政策服务app,app开发,政策统计看板,demo,P0,,,,,待开发
政策管理大盘,"列出当前所有政策，可以根据行业筛选，也可以通过企业数量进行筛选，并可选择展示某项政策通过率变化情况",,政策服务app,app开发,政策统计看板,demo,P0,,,,,待开发
企业画像管理,"招商经理在拜访前或复盘时打开某家企业的详情页，系统自动聚合展示该企业的工商信息、经营数据、知识产权、投融资、产业标签等完整画像，数据来源于企业数据库和外部接口的自动同步。",招商经理,客户拜访app,app开发,企业画像,0.1,P0,,替代现有不好用的企业数据库前端,,,待开发
走访历史管理,"招商经理查看某家企业时，系统自动汇总展示该企业所有部门（产促、科创、园发等）的历史走访记录，包括拜访时间、拜访人、沟通要点、企业诉求，帮助了解过往沟通情况避免重复询问。",招商经理,客户拜访app,app开发,企业画像,0.1,P0,,打破部门信息墙的关键功能,,,待开发
服务记录管理,"招商经理查看某家企业时，系统展示该企业历史享受的服务记录、服务包发放情况、租赁合同信息，便于了解企业与园区的合作历史。",招商经理,客户拜访app,app开发,企业画像,0.1,P1,,24年服务包已发完，25年服务形式可能变化,,,待开发
背调报告,背调报告模块，根据企业画像和知识库自动生成结构化的背调报告（输出为飞书文档），包含谈话提纲和产业合作方向建议,招商经理,客户拜访app,app开发,,0.1,P0,,蔡建总部门已有约200份人工背调可作参考,,,待开发
工商信息,"企业全名、注册时间、注册地址、办公地址、法人代表、一句话描述",招商经理,客户拜访app,app开发,背调报告,0.1,P0,,,,,待开发
股权情况,"控股股东（直接+间接穿透后）、近一年股权变化（如有）",招商经理,客户拜访app,app开发,背调报告,0.1,P0,,需关注关联企业和实际控制人穿透,,,待开发
融资情况,"历史融资信息、重要投资方（与上海国资有关系、投资过园区其他企业等）",招商经理,客户拜访app,app开发,背调报告,0.1,P0,,,,,待开发
团队情况,"创始人简介、重要高管简介（学习经历、从业经历、重要成就等）",招商经理,客户拜访app,app开发,背调报告,0.1,P1,,,,,待开发
产品情况,"主要产品简介、市场表现、技术优势等",招商经理,客户拜访app,app开发,背调报告,0.1,P1,,,,,待开发
行业/企业动态,"所在行业最新动态、企业最新动态",招商经理,客户拜访app,app开发,背调报告,0.1,P1,,,,,待开发
产业链分析,"重要供应商、重要客户",招商经理,客户拜访app,app开发,背调报告,0.1,P1,,,,,待开发
潜在需求分析,"政策需求、服务需求、产业链需求、投融资需求",招商经理,客户拜访app,app开发,背调报告,0.2,P1,,需结合历史走访记录和企业动态综合分析,,,待开发
潜在合作可能,"产业合作、投融资合作、资源对接，基于背调结果与沟通清单，从园区服务清单、政策库、企业库中预筛选出可能匹配的资源，生成初步的匹配建议方案",招商经理,客户拜访app,app开发,背调报告,0.2,P1,,需漕河泾提供服务网络清单和产业合作资源,,,待开发
历史拜访记录及沟通情况汇总,"前期诉求、解决情况、前期合作情况、前次拜访要点",招商经理,客户拜访app,app开发,背调报告,0.2,P1,,需跨部门汇总所有走访记录,,,待开发
沟通清单,"沟通清单模块，遵循3+3沟通框架，根据背调结果和赛道知识库自动生成拜访沟通清单",招商经理,客户拜访app,app开发,,0.1,P0,,蔡建总强调3+3必问问题框架,,,待开发
清单生成,"遵循""3+3""沟通框架，根据标准化模板生成，引导业务人员制定清晰的拜访目标、沟通要点与问题清单",招商经理,客户拜访app,app开发,沟通清单,0.1,P0,,产业赛道和租赁赛道的关键词不同,,,待开发
关键洞察,"从背调报告中提取的关键洞察，例如客户近期融资动态、潜在政策需求等，并形成建议的拜访沟通内容，使拜访准备更具针对性",招商经理,客户拜访app,app开发,沟通清单,0.2,P1,,,,,待开发
拜访记录,"拜访记录模块，用于走访过程中和走访后的信息记录与自动提取，最大程度减少招商经理手工录入工作",招商经理,客户拜访app,app开发,,0.1,P0,,拜访中实时策略生成已取消，聚焦拜访后处理,,,待开发
妙记自动关联,"招商经理使用飞书妙记录音后，系统根据日历中的拜访计划自动将妙记与对应企业关联，无需手动操作；如果自动关联失败，也支持手动将妙记关联到某家企业。",招商经理,客户拜访app,app开发,拜访记录,0.2,P0,,尽量不改变用户现有习惯，在日历发起拜访+开妙记,,,待开发
走访记录生成,"妙记关联到企业后，AI自动分析妙记内容，提取出企业诉求、发展近况、合作意向、关键数据（如营收、人数、研发投入等被提及的数字），并以结构化的方式展示给招商经理确认。",招商经理,客户拜访app,app开发,拜访记录,0.2,P0,,需处理方言和语音识别不准的问题,,,待开发
走访记录调整,"招商经理可在系统中调整AI产生的走访记录，例如补充未在妙记中体现的观察、约定事项、下次跟进计划等，或修正AI错误识别的数据等。",招商经理,客户拜访app,app开发,拜访记录,0.2,P1,,human in the loop确保数据准确性,,,待开发
关键问题检测,"AI分析妙记内容后，自动检测本次拜访是否覆盖了该赛道预设的关键问题，对于未覆盖的问题给出提示，帮助管理者评估拜访质量。",管理者,客户拜访app,app开发,拜访记录,0.2,P1,,蔡建总的3+3框架检测,,,待开发
需求处理,"需求处理模块，从走访记录中自动提取企业诉求并匹配服务和资源，实现需求闭环",招商经理,客户拜访app,app开发,,0.3,P1,,拜访流程第四步，前三步优先,,,待开发
需求清单整理,"AI从走访记录中提取的企业诉求自动整理成需求清单，每条需求包含需求内容、需求类型（服务类/合作类/政策类）、来源走访记录，招商经理确认后进入待处理状态。",招商经理,客户拜访app,app开发,需求处理,0.3,P1,,,,,待开发
服务匹配推荐,"对于服务类需求，AI自动匹配漕河泾可提供的服务（如算力、人才公寓、科创贷款等），展示推荐的服务及对接部门，招商经理确认后系统自动生成任务发送给对应部门。",招商经理,客户拜访app,app开发,需求处理,0.3,P2,,需漕河泾提供服务资源清单（服务包电子版）,,,待确认
企业合作推荐,"对于合作类需求，AI基于企业的产品/技术方向，在园区17000+企业库中匹配可能的上下游合作方或有类似需求的企业，推荐潜在合作机会。",招商经理,客户拜访app,app开发,需求处理,0.3,P2,,与孵化器的订单匹配Agent能力复用,,,待确认
企业政策推荐,AI基于企业的现状，主动推荐企业可以申请的各类帮扶政策,招商经理,客户拜访app,app开发,需求处理,0.3,P2,,与政策服务app的潜在企业筛选能力复用,,,待确认
任务自动创建及分发,"当招商经理确认某条需求需要跟进后，系统根据需求类型自动生成飞书任务，明确负责人、截止时间、交付标准，并@相关服务的对接人",招商经理,客户拜访app,app开发,需求处理,0.3,P2,,需配置部门职责对照表,,,待确认
跨部门信息同步,"当科创、园发等其他部门也走访了同一家企业后，系统自动将新的走访信息推送通知给该企业的主责招商经理，确保信息互通不遗漏。",招商经理/管理者,客户拜访app,app开发,需求处理,0.3,P1,,打破部门信息墙的核心功能，涉及权限管理,,,待开发
走访管理看板,走访管理看板模块，为管理者提供团队拜访工作的全局视图，基于前面功能数据积累后自然生成,管理者,客户拜访app,app开发,,0.3,P2,,顾总暂缓，先聚焦三个核心场景,,,延期
拜访统计看板,"管理者登录后可查看各部门、各人员的拜访数量统计、重点企业覆盖率、拜访频次分布等数据，支持按时间筛选，用于了解团队工作量和重点企业服务情况。",管理者,客户拜访app,app开发,走访管理看板,0.3,P2,,,,,延期
需求统计看板,"管理者可查看企业需求的数量、类型分布、处理状态（待处理/处理中/已完成）、需求转化率等数据，用于了解企业诉求情况和服务响应效率。",管理者,客户拜访app,app开发,走访管理看板,0.3,P2,,,,,延期
合作统计看板,"管理者可查看促成的企业合作数量、合作类型分布、涉及的企业等数据，用于评估资源对接成效。",管理者,客户拜访app,app开发,走访管理看板,0.3,P2,,,,,延期
走访数据接入,走访场景所需的外部数据源接入模块,系统,客户拜访app,数据建设,,0.1,P0,,与上下文平台数据接入对应,,,待开发
企业数据库接入,"接入漕河泾内部企业数据库（17000+企业），包含工商信息、年报、产业标签等，作为企业画像展示和背调生成的基础数据源。",系统,客户拜访app,数据建设,走访数据接入,0.2,P0,,先dump数据再逐步替代原系统,,,待开发
烽火CRM接入,接入烽火CRM系统获取客户跟踪记录和合同信息，建立客户经理与企业的对应关系。,系统,客户拜访app,数据建设,走访数据接入,0.2,P1,,烽火尚未正式启用，先只读对接,,,待开发
飞书妙记接入,接入飞书妙记API获取会议录音转录内容，用于走访记录的自动关联和信息提取。,系统,客户拜访app,数据建设,走访数据接入,0.1,P0,,,,,待开发
飞书日历接入,接入飞书日历API实现拜访计划同步功能。,系统,客户拜访app,数据建设,走访数据接入,0.1,P0,,,,,待开发
飞书任务接入,接入飞书任务API实现任务提醒功能。,系统,客户拜访app,数据建设,走访数据接入,0.2,P1,,,,,待开发
园区GPT-企业动态,接入园区GPT-企业动态实现背调生成功能。,系统,客户拜访app,数据建设,走访数据接入,0.2,P1,,需与奇岱松确认接口形式,,,待确认
走访数据配置,走访场景所需的业务规则和知识库配置模块,系统,客户拜访app,数据建设,,0.1,P0,,,,,待开发
赛道关键问题配置,"收集各赛道负责人提供的必问问题清单（游戏/生物医药/集成电路等），配置到系统中用于谈话提纲生成和关键问题检测。",科创服务团队,客户拜访app,数据建设,走访数据配置,0.2,P0,,需蔡建总组织各赛道组长提供3+3问题,,,待开发
服务资源清单配置,"整理服务包电子版形成服务资源清单，配置到系统中用于服务匹配推荐。",系统,客户拜访app,数据建设,走访数据配置,0.2,P1,,需漕河泾提供最新服务网络清单,,,待开发
部门职责对照表配置,"配置各部门的职责范围和联系人，用于任务自动分发时匹配对应处理部门。",系统,客户拜访app,数据建设,走访数据配置,0.2,P1,,需卫玥玥提供组织架构和职责对照,,,待开发
